customer_id,signup_date,region,segment,acquisition_channel
CUST-00001,2024-09-14,UK,Consumer,Paid Search
CUST-00002,2025-01-25,Germany,Consumer,Direct
CUST-00003,2026-03-05,Germany,Consumer,Partner
CUST-00004,2024-03-18,US,SMB,Direct
CUST-00005,2024-11-29,UK,SMB,Paid Search
CUST-00006,2025-06-25,India,Enterprise,Direct
CUST-00007,2025-09-20,Germany,Mid-Market,Referral
CUST-00008,2025-02-16,UK,Consumer,Partner
CUST-00009,2025-03-11,UK,Mid-Market,Direct
CUST-00010,2024-01-29,India,Enterprise,Partner
CUST-00011,2025-10-04,US,Mid-Market,Paid Search
CUST-00012,2025-03-14,US,Consumer,Organic
CUST-00013,2025-12-18,India,SMB,Partner
CUST-00014,2024-01-28,US,Consumer,Organic
CUST-00015,2025-04-25,UK,SMB,Referral
CUST-00016,2026-01-31,Germany,Enterprise,Referral
CUST-00017,2026-02-14,UK,Consumer,Referral
CUST-00018,2025-08-31,India,Consumer,Partner
CUST-00019,2024-05-15,US,Mid-Market,Referral
CUST-00020,2025-09-15,US,Consumer,Direct
CUST-00021,2025-02-21,Germany,SMB,Referral
CUST-00022,2026-03-27,India,Enterprise,Referral
CUST-00023,2024-10-21,India,SMB,Paid Search
CUST-00024,2024-01-26,UK,Mid-Market,Direct
CUST-00025,2024-11-20,India,Consumer,Referral
CUST-00026,2025-09-16,UAE,SMB,Direct
CUST-00027,2026-04-08,US,Consumer,Partner
CUST-00028,2024-01-18,India,Mid-Market,Paid Search
CUST-00029,2026-02-01,UK,SMB,Referral
CUST-00030,2024-07-20,Germany,Consumer,Partner
CUST-00031,2024-04-26,US,Mid-Market,Partner
CUST-00032,2024-02-17,UK,SMB,Partner
CUST-00033,2025-04-08,UK,Mid-Market,Direct
CUST-00034,2025-02-17,US,Consumer,Direct
CUST-00035,2025-10-22,UK,Mid-Market,Partner
CUST-00036,2024-12-27,UAE,SMB,Organic
CUST-00037,2024-12-17,UK,Consumer,Organic
CUST-00038,2026-04-18,UAE,Consumer,Direct
CUST-00039,2024-09-06,US,Consumer,Organic
CUST-00040,2024-10-23,US,Enterprise,Partner
CUST-00041,2024-09-02,India,SMB,Referral
CUST-00042,2025-05-30,UAE,SMB,Direct
CUST-00043,2024-10-19,Germany,SMB,Organic
CUST-00044,2025-04-26,UAE,SMB,Organic
CUST-00045,2025-10-11,UK,SMB,Partner
CUST-00046,2024-06-01,UK,Enterprise,Paid Search
CUST-00047,2024-02-19,UAE,Mid-Market,Direct
CUST-00048,2025-04-12,US,Consumer,Partner
CUST-00049,2024-08-14,India,Mid-Market,Direct
CUST-00050,2024-10-18,Germany,Consumer,Direct
CUST-00051,2024-08-04,UAE,Consumer,Direct
CUST-00052,2025-11-02,Germany,SMB,Partner
CUST-00053,2024-11-07,UK,SMB,Partner
CUST-00054,2024-09-16,India,Mid-Market,Direct
CUST-00055,2024-03-14,UAE,SMB,Paid Search
CUST-00056,2024-10-21,Germany,Consumer,Organic
CUST-00057,2024-10-15,US,Consumer,Direct
CUST-00058,2024-12-31,Germany,Consumer,Paid Search
CUST-00059,2025-09-05,India,Consumer,Direct
CUST-00060,2024-02-28,UK,Enterprise,Paid Search
CUST-00061,2025-06-18,India,Consumer,Referral
CUST-00062,2024-03-20,UK,Consumer,Referral
CUST-00063,2024-03-16,US,SMB,Direct
CUST-00064,2024-05-19,UK,Consumer,Referral
CUST-00065,2026-06-27,UK,Consumer,Organic
CUST-00066,2026-02-02,UK,Consumer,Referral
CUST-00067,2025-06-10,India,Consumer,Organic
CUST-00068,2025-01-26,US,Mid-Market,Referral
CUST-00069,2026-03-11,UK,Consumer,Paid Search
CUST-00070,2026-06-22,UK,Enterprise,Referral
CUST-00071,2025-12-07,Germany,Consumer,Organic
CUST-00072,2026-02-27,Germany,Mid-Market,Referral
CUST-00073,2026-04-09,Germany,Enterprise,Paid Search
CUST-00074,2025-11-07,UK,Consumer,Paid Search
CUST-00075,2024-10-15,US,SMB,Direct
CUST-00076,2025-12-25,Germany,Consumer,Partner
CUST-00077,2024-06-10,India,Mid-Market,Partner
CUST-00078,2024-03-07,UK,Enterprise,Organic
CUST-00079,2025-04-08,Germany,Mid-Market,Referral
CUST-00080,2026-04-12,UAE,SMB,Organic
CUST-00081,2026-06-29,Germany,SMB,Paid Search
CUST-00082,2024-02-13,US,SMB,Referral
CUST-00083,2025-02-21,UK,Consumer,Partner
CUST-00084,2024-11-30,UK,SMB,Referral
CUST-00085,2024-09-09,India,SMB,Paid Search
CUST-00086,2025-04-23,UK,Consumer,Organic
CUST-00087,2024-11-03,US,Consumer,Referral
CUST-00088,2024-04-22,Germany,Consumer,Organic
CUST-00089,2024-07-07,US,SMB,Referral
CUST-00090,2025-05-15,UK,Mid-Market,Partner
CUST-00091,2025-08-02,UK,SMB,Organic
CUST-00092,2024-01-20,UK,Mid-Market,Referral
CUST-00093,2025-05-29,UAE,Consumer,Partner
CUST-00094,2025-08-24,India,SMB,Partner
CUST-00095,2024-03-10,UK,Mid-Market,Organic
CUST-00096,2024-11-07,US,Mid-Market,Partner
CUST-00097,2024-09-27,UK,Mid-Market,Organic
CUST-00098,2024-12-25,Germany,Enterprise,Direct
CUST-00099,2024-12-30,Germany,Consumer,Partner
CUST-00100,2024-09-06,Germany,Consumer,Organic
CUST-00101,2024-08-03,US,Consumer,Partner
CUST-00102,2025-03-08,UK,SMB,Referral
CUST-00103,2025-12-08,UK,Mid-Market,Paid Search
CUST-00104,2026-02-28,UAE,SMB,Referral
CUST-00105,2024-02-03,India,Mid-Market,Referral
CUST-00106,2024-08-17,Germany,Consumer,Paid Search
CUST-00107,2026-01-03,India,Consumer,Partner
CUST-00108,2025-02-05,UK,SMB,Partner
CUST-00109,2025-02-22,US,Enterprise,Organic
CUST-00110,2024-09-26,UK,SMB,Direct
CUST-00111,2025-12-27,India,SMB,Direct
CUST-00112,2025-01-04,UAE,Mid-Market,Partner
CUST-00113,2024-03-26,India,Mid-Market,Organic
CUST-00114,2025-02-23,US,Mid-Market,Referral
CUST-00115,2024-12-05,India,SMB,Paid Search
CUST-00116,2024-09-21,Germany,Consumer,Organic
CUST-00117,2025-07-01,US,Mid-Market,Referral
CUST-00118,2024-12-19,UK,SMB,Direct
CUST-00119,2026-06-29,UK,SMB,Paid Search
CUST-00120,2024-04-05,UK,SMB,Paid Search
CUST-00121,2025-10-06,UK,Consumer,Direct
CUST-00122,2024-02-08,India,Consumer,Referral
CUST-00123,2025-08-27,Germany,Consumer,Partner
CUST-00124,2024-01-23,Germany,Consumer,Partner
CUST-00125,2025-05-23,UK,Enterprise,Paid Search
CUST-00126,2024-04-08,US,Mid-Market,Partner
CUST-00127,2026-02-07,Germany,Consumer,Referral
CUST-00128,2024-07-01,Germany,Mid-Market,Paid Search
CUST-00129,2025-05-17,UK,Consumer,Paid Search
CUST-00130,2025-09-28,India,Enterprise,Partner
CUST-00131,2024-02-02,UAE,Mid-Market,Organic
CUST-00132,2025-09-12,UK,Consumer,Partner
CUST-00133,2026-06-14,UK,Enterprise,Direct
CUST-00134,2024-11-24,UK,Mid-Market,Organic
CUST-00135,2024-09-29,UK,SMB,Organic
