order_id,customer_id,product_id,order_date,quantity,discount_pct,gross_revenue_gbp,net_revenue_gbp,status
ORD-000001,CUST-01848,PROD-0078,2026-07-27,5,0.056,1234.05,1164.94,Cancelled
ORD-000002,CUST-01699,PROD-0016,2026-06-06,1,0.061,287.73,270.18,Cancelled
ORD-000003,CUST-00484,PROD-0001,2026-04-10,1,0.047,325.81,310.5,Completed
ORD-000004,CUST-02122,PROD-0020,2026-02-11,1,0.035,146.24,141.12,Completed
ORD-000005,CUST-00305,PROD-0058,2025-11-02,3,0.041,1448.07,1388.7,Completed
ORD-000006,CUST-01599,PROD-0066,2026-03-08,1,0.002,366.74,366.01,Completed
ORD-000007,CUST-01359,PROD-0040,2026-06-13,3,0.018,531.66,522.09,Completed
ORD-000008,CUST-01825,PROD-0067,2024-05-27,3,0.061,1434.99,1347.46,Completed
ORD-000009,CUST-00285,PROD-0036,2026-04-03,5,0.086,1262.75,1154.15,Cancelled
ORD-000010,CUST-02151,PROD-0012,2024-12-15,1,0.084,494.72,453.16,Completed
ORD-000011,CUST-01336,PROD-0013,2026-07-17,3,0.047,129.75,123.65,Completed
ORD-000012,CUST-02096,PROD-0037,2026-07-29,1,0.13,133.33,116.0,Completed
ORD-000013,CUST-02150,PROD-0041,2025-12-14,1,0.043,26.17,25.04,Completed
ORD-000014,CUST-01785,PROD-0013,2026-07-11,2,0.074,86.5,80.1,Completed
ORD-000015,CUST-02196,PROD-0008,2026-05-22,1,0.036,354.43,341.67,Completed
ORD-000016,CUST-01110,PROD-0018,2026-03-15,2,0.005,821.28,817.17,Completed
ORD-000017,CUST-01552,PROD-0069,2025-02-10,3,0.02,161.55,158.32,Completed
ORD-000018,CUST-01086,PROD-0035,2024-05-18,2,0.141,873.46,750.3,Completed
ORD-000019,CUST-01237,PROD-0059,2025-11-10,1,0.011,362.91,358.92,Completed
ORD-000020,CUST-01787,PROD-0074,2026-01-02,2,0.002,592.88,591.69,Completed
ORD-000021,CUST-00440,PROD-0004,2026-05-11,2,0.064,514.8,481.85,Completed
ORD-000022,CUST-01355,PROD-0046,2026-07-17,1,0.079,477.99,440.23,Completed
ORD-000023,CUST-00651,PROD-0068,2026-05-18,1,0.048,477.41,454.49,Cancelled
ORD-000024,CUST-00075,PROD-0049,2024-10-16,1,0.052,288.08,273.1,Completed
ORD-000025,CUST-00169,PROD-0042,2026-02-02,1,0.037,284.8,274.26,Completed
ORD-000026,CUST-00152,PROD-0056,2025-02-06,4,0.019,926.88,909.27,Completed
ORD-000027,CUST-00088,PROD-0008,2026-06-29,4,0.049,1417.72,1348.25,Completed
ORD-000028,CUST-00878,PROD-0074,2026-07-30,3,0.07,889.32,827.07,Completed
ORD-000029,CUST-01420,PROD-0032,2026-06-06,2,0.014,608.96,600.43,Completed
ORD-000030,CUST-00342,PROD-0008,2026-01-07,3,0.005,1063.29,1057.97,Completed
ORD-000031,CUST-00256,PROD-0006,2025-07-17,2,0.021,622.02,608.96,Completed
ORD-000032,CUST-00686,PROD-0037,2026-02-06,1,0.112,133.33,118.4,Refunded
ORD-000033,CUST-00421,PROD-0005,2024-12-12,2,0.041,566.24,543.02,Completed
ORD-000034,CUST-00642,PROD-0052,2026-01-07,1,0.098,152.73,137.76,Completed
ORD-000035,CUST-01668,PROD-0039,2026-02-12,1,0.057,253.83,239.36,Completed
ORD-000036,CUST-00913,PROD-0026,2026-04-25,1,0.059,197.11,185.48,Completed
ORD-000037,CUST-01246,PROD-0046,2024-06-30,1,0.138,477.99,412.03,Completed
ORD-000038,CUST-00778,PROD-0048,2026-04-14,2,0.05,177.76,168.87,Completed
ORD-000039,CUST-01713,PROD-0071,2026-04-18,1,0.035,419.06,404.39,Completed
ORD-000040,CUST-01630,PROD-0037,2024-08-01,1,0.06,133.33,125.33,Refunded
ORD-000041,CUST-00751,PROD-0021,2026-04-18,3,0.037,1355.46,1305.31,Completed
ORD-000042,CUST-00524,PROD-0076,2026-03-06,1,0.076,359.31,332.0,Completed
ORD-000043,CUST-01561,PROD-0035,2026-06-08,8,0.006,3493.84,3472.88,Completed
ORD-000044,CUST-00361,PROD-0074,2026-06-11,1,0.002,296.44,295.85,Completed
ORD-000045,CUST-00783,PROD-0057,2026-06-07,2,0.042,973.2,932.33,Completed
ORD-000046,CUST-01003,PROD-0019,2026-02-05,2,0.025,620.2,604.7,Completed
ORD-000047,CUST-00500,PROD-0037,2024-06-19,3,0.05,399.99,379.99,Completed
ORD-000048,CUST-00233,PROD-0075,2026-06-17,2,0.021,448.5,439.08,Completed
ORD-000049,CUST-01419,PROD-0026,2026-05-24,1,0.057,197.11,185.87,Completed
ORD-000050,CUST-00578,PROD-0006,2026-07-17,5,0.07,1555.05,1446.2,Completed
ORD-000051,CUST-01927,PROD-0039,2025-07-13,2,0.07,507.66,472.12,Cancelled
ORD-000052,CUST-00588,PROD-0035,2025-12-27,1,0.028,436.73,424.5,Completed
ORD-000053,CUST-00830,PROD-0067,2025-07-17,1,0.061,478.33,449.15,Completed
ORD-000054,CUST-01894,PROD-0016,2026-06-22,1,0.018,287.73,282.55,Completed
ORD-000055,CUST-00492,PROD-0004,2025-12-30,1,0.059,257.4,242.21,Completed
ORD-000056,CUST-01760,PROD-0002,2026-07-01,4,0.046,1927.12,1838.47,Cancelled
ORD-000057,CUST-00574,PROD-0026,2026-05-20,2,0.052,394.22,373.72,Completed
ORD-000058,CUST-02137,PROD-0049,2026-01-19,1,0.015,288.08,283.76,Completed
ORD-000059,CUST-00598,PROD-0018,2026-03-16,1,0.017,410.64,403.66,Completed
ORD-000060,CUST-01641,PROD-0043,2026-07-07,1,0.126,95.55,83.51,Completed
ORD-000061,CUST-01347,PROD-0029,2024-10-05,2,0.034,924.98,893.53,Completed
ORD-000062,CUST-00893,PROD-0025,2026-04-17,2,0.069,236.82,220.48,Completed
ORD-000063,CUST-02062,PROD-0049,2025-11-11,1,0.042,288.08,275.98,Completed
ORD-000064,CUST-02158,PROD-0038,2025-10-09,1,0.023,244.92,239.29,Completed
ORD-000065,CUST-00026,PROD-0031,2026-05-14,2,0.002,327.82,327.16,Completed
ORD-000066,CUST-00643,PROD-0031,2026-04-16,5,0.164,819.55,685.14,Completed
ORD-000067,CUST-01440,PROD-0077,2026-04-23,2,0.013,259.76,256.38,Completed
ORD-000068,CUST-01466,PROD-0055,2024-11-05,3,0.059,174.15,163.88,Completed
ORD-000069,CUST-01880,PROD-0041,2026-05-11,1,0.007,26.17,25.99,Completed
ORD-000070,CUST-00673,PROD-0058,2026-04-20,2,0.019,965.38,947.04,Completed
ORD-000071,CUST-01683,PROD-0077,2025-12-04,2,0.031,259.76,251.71,Completed
ORD-000072,CUST-00871,PROD-0051,2026-01-07,12,0.077,5376.36,4962.38,Completed
ORD-000073,CUST-01317,PROD-0042,2024-12-22,1,0.083,284.8,261.16,Completed
ORD-000074,CUST-00579,PROD-0025,2026-04-14,1,0.057,118.41,111.66,Completed
ORD-000075,CUST-00368,PROD-0020,2026-01-30,1,0.07,146.24,136.0,Cancelled
ORD-000076,CUST-00561,PROD-0063,2025-12-13,4,0.113,1877.44,1665.29,Completed
ORD-000077,CUST-00606,PROD-0052,2026-03-16,6,0.009,916.38,908.13,Completed
ORD-000078,CUST-00375,PROD-0056,2026-04-04,1,0.052,231.72,219.67,Completed
ORD-000079,CUST-00164,PROD-0056,2026-04-08,2,0.037,463.44,446.29,Completed
ORD-000080,CUST-01389,PROD-0008,2026-07-11,2,0.046,708.86,676.25,Completed
ORD-000081,CUST-01745,PROD-0079,2026-06-13,2,0.016,949.66,934.47,Completed
ORD-000082,CUST-00992,PROD-0006,2026-01-21,4,0.003,1244.04,1240.31,Cancelled
ORD-000083,CUST-01236,PROD-0038,2026-02-02,3,0.051,734.76,697.29,Completed
ORD-000084,CUST-02119,PROD-0036,2025-12-07,1,0.04,252.55,242.45,Completed
ORD-000085,CUST-00133,PROD-0006,2026-07-09,1,0.049,311.01,295.77,Completed
ORD-000086,CUST-00828,PROD-0060,2026-05-04,1,0.039,86.6,83.22,Completed
ORD-000087,CUST-00170,PROD-0047,2026-05-27,1,0.03,398.52,386.56,Refunded
ORD-000088,CUST-01771,PROD-0012,2026-04-28,7,0.093,3463.04,3140.98,Completed
ORD-000089,CUST-00428,PROD-0070,2024-10-24,1,0.054,333.37,315.37,Completed
ORD-000090,CUST-00470,PROD-0021,2026-04-07,2,0.096,903.64,816.89,Completed
ORD-000091,CUST-00073,PROD-0074,2026-05-15,2,0.062,592.88,556.12,Refunded
ORD-000092,CUST-01951,PROD-0024,2026-05-21,4,0.049,682.96,649.49,Completed
ORD-000093,CUST-00599,PROD-0045,2025-05-16,11,0.039,3201.44,3076.58,Completed
ORD-000094,CUST-00699,PROD-0069,2026-06-20,1,0.06,53.85,50.62,Refunded
ORD-000095,CUST-01655,PROD-0027,2024-12-25,1,0.012,185.27,183.05,Completed
ORD-000096,CUST-01882,PROD-0027,2024-04-29,1,0.004,185.27,184.53,Completed
ORD-000097,CUST-00429,PROD-0030,2025-10-06,2,0.089,556.24,506.73,Completed
