product_id,category,unit_price_gbp,active_flag
PROD-0001,Security,325.81,1
PROD-0002,Software,481.78,1
PROD-0003,Cloud,281.07,1
PROD-0004,Analytics,257.4,0
PROD-0005,Analytics,283.12,1
PROD-0006,Support,311.01,1
PROD-0007,Support,346.79,1
PROD-0008,Analytics,354.43,1
PROD-0009,Software,460.82,1
PROD-0010,Analytics,229.74,1
PROD-0011,Support,148.56,1
PROD-0012,Support,494.72,1
PROD-0013,Software,43.25,1
PROD-0014,Support,246.13,1
PROD-0015,Analytics,195.32,1
PROD-0016,Cloud,287.73,1
PROD-0017,Support,318.37,1
PROD-0018,Analytics,410.64,1
PROD-0019,Support,310.1,1
PROD-0020,Analytics,146.24,0
PROD-0021,Analytics,451.82,1
PROD-0022,Cloud,32.49,1
PROD-0023,Support,406.13,1
PROD-0024,Software,170.74,1
PROD-0025,Software,118.41,1
PROD-0026,Software,197.11,1
PROD-0027,Analytics,185.27,1
PROD-0028,Software,108.59,1
PROD-0029,Cloud,462.49,0
PROD-0030,Analytics,278.12,1
PROD-0031,Security,163.91,1
PROD-0032,Analytics,304.48,1
PROD-0033,Analytics,108.08,1
PROD-0034,Software,494.42,1
PROD-0035,Cloud,436.73,0
PROD-0036,Cloud,252.55,1
PROD-0037,Support,133.33,1
PROD-0038,Security,244.92,1
PROD-0039,Support,253.83,0
PROD-0040,Cloud,177.22,1
PROD-0041,Analytics,26.17,1
PROD-0042,Security,284.8,1
PROD-0043,Security,95.55,0
PROD-0044,Software,478.6,1
PROD-0045,Analytics,291.04,1
PROD-0046,Security,477.99,0
PROD-0047,Support,398.52,1
PROD-0048,Security,88.88,1
PROD-0049,Security,288.08,1
PROD-0050,Software,210.02,1
PROD-0051,Cloud,448.03,1
PROD-0052,Cloud,152.73,1
PROD-0053,Security,477.84,0
PROD-0054,Support,371.57,1
PROD-0055,Analytics,58.05,1
PROD-0056,Support,231.72,1
PROD-0057,Analytics,486.6,1
PROD-0058,Security,482.69,1
PROD-0059,Software,362.91,1
PROD-0060,Support,86.6,1
PROD-0061,Analytics,459.1,1
PROD-0062,Software,474.89,1
PROD-0063,Cloud,469.36,1
PROD-0064,Analytics,439.52,0
PROD-0065,Security,178.75,1
PROD-0066,Security,366.74,1
PROD-0067,Analytics,478.33,1
PROD-0068,Software,477.41,1
PROD-0069,Support,53.85,1
PROD-0070,Analytics,333.37,1
PROD-0071,Cloud,419.06,1
PROD-0072,Cloud,61.63,1
PROD-0073,Analytics,138.87,0
PROD-0074,Cloud,296.44,1
PROD-0075,Analytics,224.25,0
PROD-0076,Cloud,359.31,1
PROD-0077,Security,129.88,0
PROD-0078,Security,246.81,1
PROD-0079,Security,474.83,1
PROD-0080,Support,217.74,1
